
Host: sgoodlett

Timers On : Mon Jun 22 10:16:32 2020
Timers Off: Mon Jun 22 10:16:33 2020

Wall Time:        1.00 seconds

JK: (A|mn)  :       0.01u       0.00s   0.011356w      3 calls
JK: (A|Q)^-1/2:       0.02u       0.00s   0.020677w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.002032w      3 calls
HF: Form H  :       0.00u       0.00s 0.00078900w      1 call
HF: Form S/X:       0.00u       0.00s 0.00011400w      1 call
HF: Guess   :       0.03u       0.01s 0.03764600w      1 call
SAD Guess   :       0.03u       0.00s 0.03705000w      1 call
JK: D       :       0.00u       0.00s   0.000054w     19 calls
JK: USO2AO  :       0.00u       0.00s   0.000176w     19 calls
JK: JK      :       0.01u       0.00s   0.009610w     19 calls
JK: J       :       0.00u       0.00s   0.000912w     19 calls
JK: J1      :       0.00u       0.00s   0.000451w     28 calls
JK: J2      :       0.00u       0.00s   0.000390w     28 calls
JK: K       :       0.01u       0.00s   0.008516w     19 calls
JK: K1      :       0.00u       0.00s   0.003532w     26 calls
JK: K2      :       0.01u       0.00s   0.004934w     26 calls
JK: AO2USO  :       0.00u       0.00s   0.000244w     19 calls
DIISManager::add_entry:       0.00u       0.00s   0.000419w     18 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000620w     17 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000207w     17 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000181w     17 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000156w     17 calls
HF: Form G  :       0.01u       0.00s   0.009007w     10 calls
HF: Form F  :       0.00u       0.00s   0.000018w     10 calls
HF: DIIS    :       0.00u       0.00s   0.001009w     10 calls
HF: Form C  :       0.00u       0.00s   0.000528w     10 calls
HF: Form D  :       0.00u       0.00s   0.000018w     10 calls

***********************************************************

Host: sgoodlett

Timers On : Mon Jun 22 10:20:48 2020
Timers Off: Mon Jun 22 10:20:49 2020

Wall Time:        1.00 seconds

JK: (A|mn)  :       0.01u       0.00s   0.011494w      3 calls
JK: (A|Q)^-1/2:       0.02u       0.00s   0.020889w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.002044w      3 calls
HF: Form H  :       0.00u       0.00s 0.00087200w      1 call
HF: Form S/X:       0.00u       0.00s 0.00015000w      1 call
HF: Guess   :       0.04u       0.00s 0.03737600w      1 call
SAD Guess   :       0.04u       0.00s 0.03664800w      1 call
JK: D       :       0.00u       0.00s   0.000063w     19 calls
JK: USO2AO  :       0.00u       0.00s   0.000177w     19 calls
JK: JK      :       0.02u       0.00s   0.009651w     19 calls
JK: J       :       0.00u       0.00s   0.000928w     19 calls
JK: J1      :       0.00u       0.00s   0.000446w     28 calls
JK: J2      :       0.00u       0.00s   0.000412w     28 calls
JK: K       :       0.02u       0.00s   0.008550w     19 calls
JK: K1      :       0.01u       0.00s   0.003613w     26 calls
JK: K2      :       0.01u       0.00s   0.004885w     26 calls
JK: AO2USO  :       0.00u       0.00s   0.000249w     19 calls
DIISManager::add_entry:       0.00u       0.00s   0.000377w     18 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000626w     17 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000206w     17 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000178w     17 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000182w     17 calls
HF: Form G  :       0.01u       0.00s   0.009028w     10 calls
HF: Form F  :       0.00u       0.00s   0.000021w     10 calls
HF: DIIS    :       0.00u       0.00s   0.000991w     10 calls
HF: Form C  :       0.00u       0.00s   0.000697w     10 calls
HF: Form D  :       0.00u       0.00s   0.000018w     10 calls

***********************************************************

Host: sgoodlett

Timers On : Mon Jun 22 10:23:09 2020
Timers Off: Mon Jun 22 10:23:10 2020

Wall Time:        1.00 seconds

JK: (A|mn)  :       0.01u       0.00s   0.012071w      3 calls
JK: (A|Q)^-1/2:       0.03u       0.00s   0.022022w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.002446w      3 calls
HF: Form H  :       0.00u       0.00s 0.00089000w      1 call
HF: Form S/X:       0.00u       0.00s 0.00012800w      1 call
HF: Guess   :       0.03u       0.01s 0.03739500w      1 call
SAD Guess   :       0.03u       0.01s 0.03667300w      1 call
JK: D       :       0.00u       0.00s   0.000049w     19 calls
JK: USO2AO  :       0.00u       0.00s   0.000195w     19 calls
JK: JK      :       0.01u       0.00s   0.009474w     19 calls
JK: J       :       0.00u       0.00s   0.000921w     19 calls
JK: J1      :       0.00u       0.00s   0.000453w     28 calls
JK: J2      :       0.00u       0.00s   0.000402w     28 calls
JK: K       :       0.01u       0.00s   0.008377w     19 calls
JK: K1      :       0.01u       0.00s   0.003477w     26 calls
JK: K2      :       0.00u       0.00s   0.004847w     26 calls
JK: AO2USO  :       0.00u       0.00s   0.000263w     19 calls
DIISManager::add_entry:       0.00u       0.00s   0.000457w     18 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000600w     17 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000206w     17 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000179w     17 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000148w     17 calls
HF: Form G  :       0.01u       0.00s   0.008910w     10 calls
HF: Form F  :       0.00u       0.00s   0.000024w     10 calls
HF: DIIS    :       0.00u       0.00s   0.001044w     10 calls
